端末推定,分類,recomputed_score,band,role,control_risk,63b評価
12G,USER_CORE,94,VERY_STRONG,STRONG_ABNORMAL_STRUCTURE_DEVICE,USER_CORE_STRONG,user core主戦場。通常説明stress対象。
15G,USER_CORE,51,MEDIUM,WEAK_ABNORMAL_STRUCTURE_DEVICE,USER_CORE_WEAK,user coreだが63b上は弱い。
mini1,USER_CORE,51,MEDIUM,WEAK_ABNORMAL_STRUCTURE_DEVICE,USER_CORE_WEAK,user coreだが63b上は弱い。
iPad,USER_CORE,34,WEAK,LOW_OR_CONTROL_LIKE_DEVICE,USER_CORE_WEAK,user coreだが63b上は弱い。
iPhone11Pro,USER_CORE,27,WEAK,LOW_OR_CONTROL_LIKE_DEVICE,USER_CORE_WEAK,user coreだが63b上は弱い。
iPhone11,OTHER,21,LOW,LOW_OR_CONTROL_LIKE_DEVICE,OTHER,分類外。補助のみ。
Friend,COMPARISON_OR_CONTROL,20,LOW,LOW_OR_CONTROL_LIKE_DEVICE,CONTROL_LIKE,低スコア。control-like baselineとして使いやすい。
mini2,USER_CORE,19,LOW,LOW_OR_CONTROL_LIKE_DEVICE,USER_CORE_WEAK,user coreだが63b上は弱い。
iPhone13,COMPARISON_OR_CONTROL,8,LOW,LOW_OR_CONTROL_LIKE_DEVICE,CONTROL_LIKE,低スコア。control-like baselineとして使いやすい。
iPhone15 Pro,COMPARISON_OR_CONTROL,4,LOW,LOW_OR_CONTROL_LIKE_DEVICE,CONTROL_LIKE,低スコア。control-like baselineとして使いやすい。
