端末推定,分類,recomputed_score,recomputed_band,recomputed_role,58_trust_score,58_trust_role,58_trust_note,60_backup_score,60_backup_role,60_backup_note,61_physical_total,61_telecom_total,61_cloud_total,61_role,62_pressure_total,62_pressure_role,62_trigger_chain_score_total,62_pressure_score_total
12G,USER_CORE,94,VERY_STRONG,STRONG_ABNORMAL_STRUCTURE_DEVICE,84,CORE_TRUST_GRAPH_DEVICE,Trust Graph Lineage の主戦場。58では12G中心sealとして扱う。,90,CORE_BACKUP_CONTEXT_DEVICE,56由来backup/RTCR/flushMessages contextが集中。Backup/Manifest継承章の主戦場。,396533,87446,732142,MIXED_PROXIMITY_CLOUD_DEVICE,464401,STRONG_EVIDENCE_PRESSURE_DEVICE,48039,416362
15G,USER_CORE,51,MEDIUM,WEAK_ABNORMAL_STRUCTURE_DEVICE,0,FILE_DENSE_CONTEXT_WEAK_DEVICE,trust_file_countは多いがcontext family scoreが弱い。58では強主張しない。,69,MEDIUM_BACKUP_MANIFEST_DEVICE,中程度。59/60では補助線として採用。,0,0,0,WEAK_OR_LOW_VISIBLE_DEVICE,302767,STRONG_EVIDENCE_PRESSURE_DEVICE,65208,237559
mini1,USER_CORE,51,MEDIUM,WEAK_ABNORMAL_STRUCTURE_DEVICE,0,FILE_DENSE_CONTEXT_WEAK_DEVICE,trust_file_countは多いがcontext family scoreが弱い。58では強主張しない。,85,CORE_SQLITE_OPAQUE_TRANSITION_DEVICE,SQLite OKとopaqueが混在し、可読/不可読transitionが最重要。,0,0,0,WEAK_OR_LOW_VISIBLE_DEVICE,107611,STRONG_EVIDENCE_PRESSURE_DEVICE,27770,79841
iPad,USER_CORE,34,WEAK,LOW_OR_CONTROL_LIKE_DEVICE,0,AUXILIARY_DEVICE,補助端末。単体強証拠ではない。,75,STRONG_BACKUP_MANIFEST_DEVICE,opaque反復とtransitionが強い。補助主戦場。,,,,,12045,WEAK_EVIDENCE_PRESSURE_DEVICE,957,11088
iPhone11Pro,USER_CORE,27,WEAK,LOW_OR_CONTROL_LIKE_DEVICE,0,FILE_DENSE_CONTEXT_WEAK_DEVICE,trust_file_countは多いがcontext family scoreが弱い。58では強主張しない。,,,,,,,,124979,STRONG_EVIDENCE_PRESSURE_DEVICE,12160,112819
iPhone11,OTHER,21,LOW,LOW_OR_CONTROL_LIKE_DEVICE,,,,75,STRONG_BACKUP_MANIFEST_DEVICE,opaque反復とtransitionが強い。補助主戦場。,,,,,,,,
Friend,COMPARISON_OR_CONTROL,20,LOW,LOW_OR_CONTROL_LIKE_DEVICE,0,AUXILIARY_DEVICE,補助端末。単体強証拠ではない。,71,MEDIUM_BACKUP_MANIFEST_DEVICE,中程度。59/60では補助線として採用。,,,,,,,,
mini2,USER_CORE,19,LOW,LOW_OR_CONTROL_LIKE_DEVICE,0,FILE_DENSE_CONTEXT_WEAK_DEVICE,trust_file_countは多いがcontext family scoreが弱い。58では強主張しない。,69,MEDIUM_BACKUP_MANIFEST_DEVICE,中程度。59/60では補助線として採用。,,,,,,,,
iPhone13,COMPARISON_OR_CONTROL,8,LOW,LOW_OR_CONTROL_LIKE_DEVICE,,,,29,LOW_BACKUP_MANIFEST_DEVICE,露出量が少ない。単体強主張しない。,,,,,,,,
iPhone15 Pro,COMPARISON_OR_CONTROL,4,LOW,LOW_OR_CONTROL_LIKE_DEVICE,0,AUXILIARY_DEVICE,補助端末。単体強証拠ではない。,13,LOW_BACKUP_MANIFEST_DEVICE,露出量が少ない。単体強主張しない。,,,,,,,,
